COD_PRODUTO	DESCRICAO	REFERENCIA	NOME_FORNECEDOR_REGULAR	EAN_PRODUTO_UNITARIO
5104352	JOGO TAPA CERTO MINIONS 2	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556278
5104351	JOGO TAPA CERTO LIGA DA JUSTICA	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556285
5105322	JOGO DA LULUCA NO MUNDO DOS DESAFIOS	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556384
5115591	JOGO TAPA CERTO FROZEN 2	1201610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556421
5108865	JOGO CARA A CARA FLAMENGO	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556438
5115588	JOGO CARA A CARA FROZEN 2	1201600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027556445
5113488	JOGO CONTRA ATAQUE	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557558
5113489	JOGO DOMINIO E EQUILIBRIO	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557565
5112911	JOGO DIVERTIRAMA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557572
5113485	JOGO MONTA MONSTROS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557589
5113203	JOGO DA COLHEITA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557602
5113501	JOGO PULA PIPOCA	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557619
5111998	JOGO TOTE MONSTROS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557626
5113472	JOGO SALVE SALVE RIOS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557633
5111994	JOGO MISSAO DPA APT 333	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557640
5112905	JOGO ENALDINHO BALANCA MAS NAO CAI	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557725
5113376	JOGO RODADA FINAL	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557732
5112004	JOGO NAVIO PIRATA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557749
5112002	JOGO RASHER	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557756
5111991	JOGO QI MUSICAL	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557770
5111990	JOGO HERDEIROS DO KHAN	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557787
5112001	JOGO JOIAS DO DRAGAO	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557794
5111997	JOGO STRANGER THINGS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557817
5111999	JOGO UTC NAO PODE RIR 2	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557879
5112060	JOGO TAPA CERTO MINIONS	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557916
5111981	JOGO DA MEMORIA MINIONS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027557930
5111988	JOGO CARA A CARA AVENGERS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027558128
5112003	JOGO TAPA CERTO AVENGERS	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027558135
5112000	JOGO DO TOMBO	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027558425
5113374	JOGO VIRA VIROU MINIONS	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027558517
5113762	JOGO DINAMITE ENALDINHO	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027558661
5111989	JOGO HORA DO MISTERIO DPA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027558739
5113763	JOGO CUCA CHEIA	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027558869
5120918	JOGO SUPER VISAO	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559415
5130391	JOGO DA MESADA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559422
5120920	JOGO PASSA ANEL	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559460
5120677	JOGO DUELO SPIDERMAN	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559491
5120923	JOGO AVENTURA NO GELO	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559507
5121072	JOGO COPOLORIDO	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559514
5122230	JOGO TESOURO DO FARAO	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559583
5122934	JOGO PULA GAFANHOTO	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559590
5121534	JOGO EMOCOES URSINHOS CARINHOSOS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559606
5121481	JOGO CENTRAL DE JOGOS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559613
5120919	JOGO LETRAS OCULTAS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559620
5122228	JOGO FUTEGAME	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559637
5120673	JOGO CACA PALAVRAS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559644
5120676	JOGO DO ESPAGUETE	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559682
5121733	JOGO PEGA O RATO	1001620000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559699
5122938	JOGO TAPA CERTO LIGHTYEAR	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559729
5121732	JOGO MANCALA ESTRELA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559811
5122929	JOGO BATALHA SPIDERMAN	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559934
5122932	JOGO MIXTAPES	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027559965
5122901	JOGO FRONT TOTAL	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027560091
5122939	JOGO O GRANDE COLECIONADOR DE BRINQUEDOS	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027560138
5122931	JOGO LABIRINTO BATMAN	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027560213
5122927	JOGO BRAVO	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027560220
5125001	JOGO PROCURANDO EM HOGWARTS	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027560251
5130286	JOGO BANCO IMOBILIARIO REALIDADE AUMENTA	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027560367
5122458	JOGO 4 EM LINHA LIGHTYEAR	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027560527
5122229	JOGO O BANCO DO PETROLEO	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027560558
5123267	JOGO SEGURE SE PUDER RETRO	1001620000000	JM COMERCIO INDUSTRIA DE PLASTICOS	7896027560817
5123268	JOGO AQUAPLAY ESTRELINHA RETRO	1001620000000	JM COMERCIO INDUSTRIA DE PLASTICOS	7896027560824
5129768	JOGO ARMADILHA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561128
5130245	JOGO DU ELO	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561135
5128616	JOGO CORRIDA CRUZADA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561142
5129059	JOGO DOMINIO	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561159
5129060	JOGO LANCE FINAL	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561166
5129054	JOGO CODIGO ANIMAL	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561180
5129069	JOGO PING PORC	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561203
5130384	JOGO DETONA PAREDE	1301600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561210
5130449	JOGO HOCKEY PAPA PIZZA	1301660000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561227
5130076	JOGO SMASH	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561371
5130394	JOGO COPOLORIDO 2	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561388
5130248	JOGO TATU NA TOCA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561418
5130333	JOGO AQUAPLAY ARGOLINHAS ESTRELA	1001620000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561593
5130313	JOGO TAPA CERTO WARNER 100 ANOS	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561647
5130074	JOGO EU SOU WARNER 100 ANOS	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561722
5130101	JOGO TAPA CERTO A CASA MAGICA DA GABBY	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027561746
5135445	JOGO SEM SAIDA ESTRELA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027562019
5135510	JOGO LAMBE LAMBE ESTRELA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027562026
5135461	JOGO SOME DEZ ESTRELA	1001600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027562057
5136976	JOGO TUBARAO PIRATA	1301600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027562064
5135462	JOGO CILADA NUMEROS	1301600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027562071
5135482	JOGO CAI NAO CAI TETRIS ESSTRELA	1301660000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027562132
5137070	JOGO PEGA NA MENTIRA ESTRELA	1301600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027562149
5136602	JOGO NAO MEXA NA MINHA BARBA	1301600000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027562309
5136603	JOGO TAPA CERTO SPIDEY	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027562347
5143030	JOGO CAI NAO CAI STITCH	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027563351
5143031	JOGO PULA STITCH	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027563368
5143032	JOGO TAPA CERTO STITCH	1001610000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027563375
5143028	JOGO TRAVA LETRAS	1301660000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027563597
5143029	JOGO BALANCO ESPACIAL	1301660000000	ESTRELA DISTR DE BRINQ COML IMP EXP	7896027563689
441821	JOGO PARES E QUART PRINCE	718	TOYSTER BRINQUEDOS LTDA	7896054007187
5056243	PL-JOGO VEREDICTO	798	TOYSTER BRINQUEDOS LTDA	7896054007989
449849	JOGO DAS CATEGORIA SCAT	969	TOYSTER BRINQUEDOS LTDA	7896054009693
449890	JOGO WITCH MAGIA DE BRUXI	1014	TOYSTER BRINQUEDOS LTDA	7896054010149
441473	JOGO MENINAS S PODEROSAS	1041	TOYSTER BRINQUEDOS LTDA	7896054010415
75981	JOGO PULGAS MALUCAS	4509	HASBRO DO BRASIL IND E COM DE BRINQ	7896054010859
75957	JOGO DENTES DE CROCODILO	41518	HASBRO DO BRASIL IND E COM DE BRINQ	7896054010866
75990	JOGO SKIP IT	45613	HASBRO DO BRASIL IND E COM DE BRINQ	7896054011528
441961	JOGO ADIVINHACAO	1211	TOYSTER BRINQUEDOS LTDA	7896054012112
442070	JOGO CARROS	1212	TOYSTER BRINQUEDOS LTDA	7896054012129
440060	JOGO GIRO MAGICO	1224	TOYSTER BRINQUEDOS LTDA	7896054012242
440850	JOGO SHREK TERCEIRO AVENT	1244	TOYSTER BRINQUEDOS LTDA	7896054012440
441902	JOGO HIGH SCHOOL MUSICAL	1250	TOYSTER BRINQUEDOS LTDA	7896054012501
441511	JOGO PR MYSTIC FORCE BAT	1252	TOYSTER BRINQUEDOS LTDA	7896054012525
441988	JOGO SOPA DIVERT RATATOU	1270	TOYSTER BRINQUEDOS LTDA	7896054012709
440205	JOGO INDICACAO	1287	TOYSTER BRINQUEDOS LTDA	7896054012877
442178	JOGO BARCO PIRATA DISNEY	1292	TOYSTER BRINQUEDOS LTDA	7896054012921
442232	JOGO MOUSETRAP	1297	TOYSTER BRINQUEDOS LTDA	7896054012976
